Id,End,ImageUrl,Instructors,Name,Platform,Start,Stream,Url
"63","2012-08-19","*","Armando Fox;David Patterson","Software Engineering for SaaS","Coursera","2012-07-13","Computer Science","https://www.coursera.org/course/saas"
"46","2012-11-25","*","Mung Chiang","Networks: Friends, Money, and Bytes","Coursera","2012-09-17","Society, Networks and Information","https://www.coursera.org/course/friendsmoneybytes"
"50","2012-10-28","*","Lada Adamic","Social Network Analysis","Coursera","2012-09-03","Society, Networks and Information","https://www.coursera.org/course/sna"
"36","2012-09-09","*","Charles Severance","Internet History, Technology, and Security","Coursera","2012-07-23","Society, Networks and Information","https://www.coursera.org/course/insidetheinternet"
"59","2012-08-12","http://www.udacity.com/media/img/pages/courses/MA101-featured.png","Sebastian Thrun;Adam Sherwin","ST101 - Introduction to Statistics: Making Decisions Based on Data","Udacity","2012-06-25","Mathematics and Statistics","http://www.udacity.com/overview/Course/st101"
"71","2012-08-12","http://www.udacity.com/media/img/pages/courses/CS373-featured.png","Sebastian Thrun","CS373 - Artificial Intelligence: Programming a Robotic Car","Udacity","2012-06-25","Computer Science","http://www.udacity.com/overview/Course/cs373"
"20","2011-12-07","http://www.db-class.org/course/assets/berry/img/cs145-landing.png","Jennifer Widom","Introduction to Databases","Coursera","2011-11-01","Computer Science","http://www.db-class.org/"
"19","2011-12-14","https://www.ai-class.com/media/img/ai_header_thin1.jpg","Sebastian Thrun;Peter Norvig","Introduction to Artificial Intelligence","Udacity","2011-11-01","Computer Science","https://www.ai-class.com/"
"73","2012-09-16","http://work.caltech.edu/images1/banner.png","Yaser Abu-Mostafa","Learning from Data","Caltech","2012-07-10","Computer Science","http://work.caltech.edu/telecourse.html"
"102","2013-02-10","*","Nick Parlante","Computer Science 101","Coursera","2013-01-01","Computer Science","https://www.coursera.org/course/cs101"
"103","2013-03-03","*","Dan Boneh","Cryptography II","Coursera","2013-01-21","Computer Science","https://www.coursera.org/course/crypto2"
